date,hr,open,high,low,close,volume
2020.06.04,19:00,17.757,17.793,17.74,17.759,1439
2020.06.04,20:00,17.758,17.826,17.73,17.822,2321
2020.06.04,21:00,17.822,17.853,17.777,17.783,1671
2020.06.04,22:00,17.781,17.79,17.714,17.743,2052
2020.06.04,23:00,17.744,17.753,17.699,17.71,629
2020.06.05,1:00,17.723,17.737,17.708,17.708,419
2020.06.05,2:00,17.709,17.729,17.662,17.677,453
2020.06.05,3:00,17.678,17.743,17.674,17.716,1000
2020.06.05,4:00,17.717,17.768,17.694,17.7,3108
2020.06.05,5:00,17.7,17.726,17.687,17.7,2091
2020.06.05,6:00,17.701,17.715,17.676,17.692,1791
2020.06.05,7:00,17.693,17.739,17.685,17.687,857
2020.06.05,8:00,17.685,17.748,17.683,17.711,2875
2020.06.05,9:00,17.711,17.73,17.678,17.698,3241
2020.06.05,10:00,17.697,17.721,17.664,17.695,1785
2020.06.05,11:00,17.695,17.741,17.668,17.739,1739
2020.06.05,12:00,17.74,17.742,17.658,17.673,2034
2020.06.05,13:00,17.673,17.679,17.588,17.625,2605
2020.06.05,14:00,17.626,17.659,17.548,17.631,1641
2020.06.05,15:00,17.632,17.64,17.283,17.368,10773
2020.06.05,16:00,17.363,17.413,17.23,17.319,10053
2020.06.05,17:00,17.321,17.4,17.218,17.279,5550
2020.06.05,18:00,17.279,17.366,17.274,17.323,3847
2020.06.05,19:00,17.323,17.376,17.313,17.352,1724
2020.06.05,20:00,17.353,17.37,17.323,17.342,1798
2020.06.05,21:00,17.34,17.385,17.325,17.38,1434
2020.06.05,22:00,17.38,17.404,17.355,17.398,1404
2020.06.05,23:00,17.399,17.418,17.389,17.417,610
2020.06.08,1:00,17.328,17.394,17.306,17.365,1319
2020.06.08,2:00,17.366,17.431,17.361,17.421,954
2020.06.08,3:00,17.42,17.501,17.415,17.45,1567
2020.06.08,4:00,17.448,17.564,17.433,17.492,3619
2020.06.08,5:00,17.493,17.52,17.468,17.493,2349
2020.06.08,6:00,17.492,17.51,17.476,17.502,1638
2020.06.08,7:00,17.502,17.581,17.496,17.574,1684
2020.06.08,8:00,17.57,17.655,17.561,17.605,2661
2020.06.08,9:00,17.606,17.679,17.59,17.62,2408
2020.06.08,10:00,17.617,17.683,17.574,17.677,1670
2020.06.08,11:00,17.676,17.71,17.661,17.685,1279
2020.06.08,12:00,17.685,17.745,17.65,17.723,1323
2020.06.08,13:00,17.722,17.737,17.603,17.616,1317
2020.06.08,14:00,17.618,17.675,17.611,17.621,1917
2020.06.08,15:00,17.621,17.688,17.573,17.628,3218
2020.06.08,16:00,17.625,17.652,17.461,17.501,6506
2020.06.08,17:00,17.501,17.569,17.492,17.546,4771
2020.06.08,18:00,17.548,17.559,17.464,17.518,3685
2020.06.08,19:00,17.518,17.654,17.518,17.644,3180
2020.06.08,20:00,17.635,17.709,17.621,17.685,2458
2020.06.08,21:00,17.679,17.731,17.663,17.726,1821
2020.06.08,22:00,17.721,17.792,17.711,17.783,1650
2020.06.08,23:00,17.783,17.801,17.737,17.758,920
2020.06.09,1:00,17.743,17.768,17.726,17.731,519
2020.06.09,2:00,17.728,17.741,17.693,17.703,490
2020.06.09,3:00,17.703,17.726,17.68,17.712,1014
2020.06.09,4:00,17.712,17.719,17.618,17.642,3921
2020.06.09,5:00,17.642,17.66,17.558,17.573,2456
2020.06.09,6:00,17.567,17.586,17.549,17.558,1598
2020.06.09,7:00,17.559,17.578,17.522,17.569,1038
2020.06.09,8:00,17.571,17.651,17.548,17.645,1894
2020.06.09,9:00,17.645,17.653,17.563,17.582,2713
2020.06.09,10:00,17.582,17.63,17.573,17.625,3380
2020.06.09,11:00,17.625,17.647,17.464,17.55,3167
2020.06.09,12:00,17.552,17.656,17.539,17.634,2721
2020.06.09,13:00,17.635,17.638,17.582,17.632,2086
2020.06.09,14:00,17.631,17.659,17.575,17.632,2408
2020.06.09,15:00,17.633,17.738,17.582,17.673,4417
2020.06.09,16:00,17.679,17.725,17.588,17.701,4513
2020.06.09,17:00,17.702,17.769,17.675,17.715,4598
2020.06.09,18:00,17.714,17.73,17.671,17.686,2612
2020.06.09,19:00,17.686,17.698,17.651,17.662,1078
2020.06.09,20:00,17.66,17.662,17.611,17.658,1036
2020.06.09,21:00,17.658,17.683,17.576,17.578,650
2020.06.09,22:00,17.577,17.608,17.564,17.589,1093
2020.06.09,23:00,17.593,17.613,17.518,17.518,606
2020.06.10,1:00,17.528,17.583,17.527,17.55,603
2020.06.10,2:00,17.551,17.57,17.541,17.565,954
2020.06.10,3:00,17.565,17.621,17.56,17.615,927
2020.06.10,4:00,17.614,17.725,17.612,17.722,2438
2020.06.10,5:00,17.723,17.745,17.703,17.711,1977
2020.06.10,6:00,17.712,17.722,17.694,17.698,1489
2020.06.10,7:00,17.699,17.701,17.678,17.691,803
2020.06.10,8:00,17.692,17.758,17.691,17.741,1874
2020.06.10,9:00,17.741,17.754,17.718,17.723,2220
2020.06.10,10:00,17.724,17.738,17.661,17.689,1872
2020.06.10,11:00,17.69,17.721,17.667,17.67,1904
2020.06.10,12:00,17.669,17.677,17.604,17.656,1472
2020.06.10,13:00,17.656,17.715,17.615,17.71,723
2020.06.10,14:00,17.709,17.895,17.691,17.839,2243
2020.06.10,15:00,17.838,17.94,17.838,17.892,3755
2020.06.10,16:00,17.892,17.961,17.853,17.912,3551
